id,marketName,marketCategoryCode,createdAt
934dfd87-6360-4ebd-9aef-5814d3babb71,Migros,egzotik-meyveler-c-3ea,2026-03-08 17:50:20.271
93f05f23-f096-47fe-9339-732d4343902d,Migros,sert-meyveler-c-3ed,2026-03-08 17:50:23.002
94f28bc8-fa4f-4ae5-9bf2-74a67f8e9278,A101,C0101,2026-03-08 17:49:54.456
95df5152-3273-4678-9ed0-968d66bc9c0d,Şok,1770,2026-03-08 17:50:46.034
96e5e41a-6824-4e84-96e1-a8826b26f652,A101,C1103,2026-03-08 17:50:11.018
9782d29e-05d8-4340-a293-184c6b76a987,A101,C0606,2026-03-08 17:49:48.979
99da854d-f878-46fc-98e2-e7cc1482c459,A101,C1602,2026-03-16 01:40:34.861
9a9ff3dd-6e94-4572-9e1e-4c7672a58653,Şok,20647,2026-03-08 17:51:13.618
9c74b217-b391-4ef4-8a3e-c008d1029271,Şok,180,2026-03-08 17:50:39.579
9dcf9cdc-4a2d-4e73-9fbe-3507f4f7431e,Migros,dana-eti-c-3fa,2026-03-08 17:50:17.431
a96278ec-4978-4c6e-871c-911e1b5a8834,Şok,460,2026-03-08 17:51:12.708
aac7f71b-292b-45fe-b27c-b05c3c28d4d9,Şok,989,2026-03-08 17:50:48.768
ab825b61-7651-402e-bf81-552eedb5d41b,A101,C0709,2026-03-08 17:50:07.378
b2f00e12-9244-4077-b831-48b796165463,A101,C1601,2026-03-16 01:40:29.273
b67895ff-fb43-4823-980a-eda76c688efb,Migros,iftar-c-1209c,2026-03-15 21:12:44.313
b9abdecb-cdb7-4502-b963-fbf65f6d68c4,Migros,pilic-c-3fe,2026-03-08 17:50:16.513
b9f50042-cbe4-4cc2-a647-bfb6bdab029d,A101,C0102,2026-03-08 17:49:55.368
c46d7175-bfc9-4b5b-954c-d662175707ae,Migros,fistik-c-280c,2026-03-08 17:50:14.695
c7877bad-f8a1-4e08-84a5-6029e84ea963,Şok,20875,2026-03-11 02:56:38.66
ca56dfe8-dfab-45da-a9ff-bcf973bff92d,Şok,1250,2026-03-08 17:51:07.223
ccb93ed3-9f65-4d78-b7de-024dcaa48c63,Şok,29728,2026-03-08 17:50:40.492
cebbae5c-501a-4082-89bc-2700bd5db188,A101,C0713,2026-03-08 17:50:01.794
d8050980-ab57-4b99-b6b9-e17078d65afa,Migros,dogranmis-ayiklanmis-sebzeler-c-3f1,2026-03-08 17:50:24.822
